L_501;L_503;L_511C;L_511R;L_512;L_521;L_551;L_561;L_562;Trasfega;Filtracao;Brassagem;Energia
3303.75;3537.285;2134.771;0;3537.285;299.3;595.8;2179.32;4444.44;6426;17440;11857.9;149267.87
4040.55;3239.619;0;0;3239.619;377.8;746.4;2271;5306.04;12577;15222;15226.8;143012
933.75;2734.47;0;0;2734.47;0;0;4141.32;3519.48;6229;18095;18006.6;141888
0;3320.556;1747.239;0;3320.556;0;0;0;3275.28;6367;5947;14854;124290
3312.3;2648.358;5358.612;0;2648.358;418;0;2394.48;3220.848;9841;16463;12033.2;137692
2203.35;0;3038.53;0;3375.923;185.8;0;1757.52;1655.64;12934;12773;1702.5;122722
3344.7;1366.2;2988.219;0;7014.122;0;411.6;2601.48;5105.55;18331;14936;17307.4;142823
1428.9;2783.874;2106.272;0;5932.7;219.4;378.96;2928.36;1239;9290;11185;13900.3;131996
1675.5;2998.947;3757.767;0;6104.43;450;0;2958.48;1649.508;6386;15730;17030.3;141323
3622.5;2935.467;4858.445;0;6569.948;279;0;2623.08;2378.784;6340;18181;16814.8;145189
1826.25;0;3881.499;0;6848.686;0;0;0;3041.88;6139;13350;11397;121274
0;0;4021.993;0;5191.835;0;0;2637.12;1461.39;5959;8160;3454.6;108081
0;0;3777.449;0;1240.319;0;0;2157.96;1288.23;12107;11980;10553.5;113382
3309;3457.797;4183.98;0;2906.976;287.9;0;2150.16;2011.47;10195;11650;15624.8;129512
3156.6;3640.578;3033.674;0;6296.295;181.5;0;2583.6;0;6399;15497;13595.6;131660
0;2926.221;3755.957;0;6460.721;406.5;0;2102.4;4.65;12241;10163;11248.1;124218
1750.35;2518.5;3510.751;0;6596.862;0;0;4045.8;0;16201;16159;12581.2;125373
1755.6;0;3399.608;0;6033.656;0;0;0;0;5982;12853;14746.6;109181
0;0;3979.308;0;5876.131;0;355.08;2229;480;6018;15121;15547.6;123024
2053.8;0;1933.614;0;4479.657;378.6;437.64;2936.64;0;12377;7200;6382.1;117750
3573.15;2959.341;3501.038;0;4705.133;0;0;3211.68;2130.96;12393;19280;8496.5;134551
3080.85;3172.275;3950.448;0;5476.302;390;197.352;2390.52;3878.01;5885;20319;11807.7;147324
3620.4;3525.693;4172.478;0;6445.388;181;0;1837.92;3093.9;12057;16023;10455.5;147525
3493.05;3034.206;4479.22;0;4301.794;230;0;2958.12;1034.58;6245;15526;14357.7;139624
1277.7;3353.4;4926.178;0;4751.796;0;0;0;1811.04;9886;10339;12448;132626
0;0;4244.728;0;5598.18;380;0;2539.44;1548.12;12089;12624;15091.3;128119
2737.2;304.29;2966.174;0;6504.456;480.5;600.6;2883.6;3486.3;6313;8084;19033.3;149146
3368.25;3198.909;4342.133;0;3073.476;0;598.44;4890.12;1437.168;6460;20700;9002.5;144952
3555.15;3521.07;4003.016;0;5593.938;0;409.32;3186.96;2765.61;18558;13120;10695.8;143907
3322.5;3165.927;4291.801;0;7091.574;0;0;3473.76;3536.34;6212;13768;16045.4;152067
3296.7;3306.756;4340.428;0;6583.248;0;0;2944.44;1969.35;9907;17883;17392.4;154508
0;0;3686.519;0;6698.244;0;0;0;0;12300;16618;17704.6;104249
2626.05;1870.797;1823.067;0;7040.124;0;0;3097.92;1589.28;6231;15761;10916.5;140957
3532.5;3180.9;4149.793;0;7162.68;374;417.6;1712.28;2201.04;11930;17795.5;14071.5;147603
2551.2;2521.881;4131.583;0;7008.96;414;375.36;2416.92;2482.8;6323;29264;14574.1;152877
1516.2;2008.245;3506.129;0;4945.43;391.8;0;3066.12;1452.24;17699;12430;18189;147877
1215.9;3189.042;4215.44;0;6772.385;486.4;0;2336.4;3122.04;3888;10137;14676.7;143382.1
3786.3;2489.037;4200.488;0;5872.498;482.4;0;3082.08;4170.96;12791;19776;16863;158434
0;0;1879.768;0;2498.593;0;0;0;2453.52;6361;5497;4350.6;103000
1286.4;1358.403;1905.115;0;0;0;0;803.28;536.58;9711;6112;0;80000
2596.2;2677.338;4644.018;0;0;125.5;194.904;3917.04;1678.56;11744;11596;8495.8;111000
3283.8;696.21;4618.989;0;0;525.2;0;2621.28;1677.06;8337;16268;15622.5;123000
1969.8;2543.892;4022.249;0;3379.151;403.9;0;3276.48;4587.57;3095;12221;16389.4;149560
2594.1;3123.63;4475.513;0;6585.281;575.2;0;3754.44;4784.88;9137;13343;15386.4;157000
1852.2;1352.193;1671.049;0;3386.657;322.3;0;2028.6;1635.45;0;10654;7236.2;105000
2773.05;1069.5;2864.914;0;2803.558;0;0;0;1704.48;11362;3630;1894.9;117000
2377.65;2249.262;3273.448;0;4214.881;37.5;51.72;1295.04;1123.992;7987;17694;10598.3;119000
1255.05;2686.446;4059.95;0;5567.009;507.5;532.56;2420.52;1820.52;14688;15586;13980.7;143000
1346.25;2609.787;4669.087;0;5912.647;315.2;410.64;1149.48;1705.2;12618;15581;15473.2;143505
2761.05;967.035;4239.254;0;6733.245;604;605.04;4078.44;1654.2;5663;17490;13244.5;153737
2482.2;2954.718;4314.741;0;6267.565;238.5;0;3537.96;3337.98;12384;14400;13688.3;164749
2853.9;1800.9;4328.522;0;6834.322;172;0;3060.12;3695.52;12477;8900;16357.4;155191
1071;361.836;4032.836;0;6559.055;0;0;0;0;9998;16015;4947.7;114383
1474.2;2579.772;3905.845;0;5039.312;0;0;1985.64;1674.6;12742;11900;3209.3;118287
3057.3;471.96;3139.875;0;3634.255;274;195.984;3172.8;4063.5;12436;15867;12365.9;146847
3114;2193.786;4251.991;0;6569.892;463.5;425.52;3466.56;3456;12140;18128;13296.9;156002
3191.4;2934.432;2138.648;0;5873.868;185.7;373.68;3229.56;2825.49;11360;15831;16687.7;149225
2851.2;1440.03;0;3664.75;6265.98;518.1;0;3211.2;2757.51;0;7568;14175.7;154668
3213;3176.967;0;3837.834;6849.486;0;0;2597.64;2052.3;6035;14518;19813.8;150337
2897.7;2552.31;0;2506.413;6001.422;0;0;0;1155.12;6035;9096;14347.8;127404
316.8;2667.885;0;3614.78;4091.808;282.5;0;0;1737.54;12626;14111;12618.8;129109
2786.4;713.529;4119.078;0;7562.856;59.4;594.96;2242.2;2965.68;12666;10333;7235.5;141464
3201.3;2759.586;3386.406;0;7717.836;454.6;396.72;6203.28;0;12508;9277;18900.6;161755
2971.35;2654.499;4283.089;0;6737.22;85;404.04;4724.4;0;6292;16231;17180.8;153601
2367.3;1627.02;3711.269;0;7287;403.8;0;3982.68;4761.6;19042;13737;15267;159047
2989.8;3084.576;5199.947;0;8201.298;168.5;0;4048.92;3595.86;6362;19799;11007.1;157232
2182.2;652.602;2102.31;0;3637.732;0;0;0;3100.32;9784;14753;18246.6;132642
621.15;0;2481.131;0;6802.243;104;0;3574.8;2075.85;6086;14635;14414;131887
2205;2299.218;4243.854;0;2843.142;89.5;189.648;3582.6;2595.84;12446;8930;5580.1;135720
2896.8;0;4591.939;0;5949.607;527.5;593.88;3833.4;4277.85;6292;12555;14414;140552
3315.75;2600.679;4712.242;0;6740.992;76.8;811.08;3947.04;2244.78;12474;9706;12760.1;150582
3763.5;3272.67;4161.041;0;6902.634;156.7;811.8;3276.24;1932.06;12251;28105;12897;157577
3297;2970.519;4768.218;0;6682.162;488;0;2743.2;1449.42;12577;15973;13378.3;156247
1236.9;2868.537;3590.541;0;6802.647;0;0;0;921.24;6287;14712;17767.7;139919
0;991.461;3423.123;0;4036.089;75.3;618.6;1933.2;825.78;6217;11850;12247.6;135140
2355.75;2724.741;4472.744;0;5745.642;395.6;604.8;4125.72;2811.3;15523;15430;15881.4;160657
3519.75;3259.974;4418.771;0;6051.696;315;0;2246.64;2066.58;2953;13871;11564.4;139906
2669.7;2975.97;4801.574;0;6454.182;0;0;3469.2;1339.56;12039;17100;10738.9;143229
3039.45;2637.663;1982.753;0;6603.66;448;0;3794.28;3365.82;16967;12187;14122.2;146431
2958.9;2866.743;0;2544.924;7778.82;352.3;0;3088.8;4031.88;13421;19903;18074.5;157953
3186.15;2583.36;1515.133;693.869;7857.78;0;0;0;4904.25;15805;12861;14537;149327
3105.6;178.089;3551.135;0;3667.02;412.5;0;3814.8;4398.33;3125;11897;15437.8;146885
992.7;2359.938;3392.963;0;5282.214;0;0;2620.8;1877.64;15921;11610;3389.6;136740.63
3645.6;2662.089;4437.28;0;7902.048;123;607.44;3846;795.66;9239;15533;17760.6;156321.8
3135.9;2367.045;4651.451;0;5609.646;651.3;0;3742.32;1685.22;14788;15632;19464.2;157208.4
3409.65;2943.54;4724.234;0;8043.84;479.5;182.736;3340.08;1081.74;9513;16568;19676.5;161106.8481
3352.95;2941.332;4596.966;0;7309.68;58.8;0;2096.64;1535.7;8945;19641;12644.5;154743
2665.65;2178.123;4446.822;0;3144.025;0;0;4164.6;1746.048;8774;10441;5413.3;145432
0;0;2323.659;0;6803.534;185.6;0;1708.44;3570.372;6130;12677;21161.5;133897
1360.8;2031.774;4367.949;0;6568.818;526.5;0;0;3007.86;15584;12826;11445.8;137458.8
3171;2535.75;3999.31;0;7102.891;102.3;0;633.12;2869.32;13128;17030;15081.7;143417.9505
3361.05;2584.671;4602.59;0;5245.299;395;0;1082.88;3102;12044;19350;15421.7;150491.484
3288.75;2500.491;3791.059;0;5653.277;610.4;600.84;815.88;4301.16;6341;3340;13014.3;141956.6973
3116.4;3049.11;3930.127;0;6511.803;75.1;0;4162.44;3970.62;9716;23708;11439.6;159684.162
3210.15;2790.912;4598.651;0;6715.653;0;0;3843.84;2014.8;0;14928;16475;153800.3775
3341.85;1168.308;3616.825;0;3558.87;321.2;0;3962.52;2839.02;9173;19564;10691.3;144146.1219
3090.3;2332.338;4424.671;0;5068.404;356;0;2900.04;1576.74;10831;11021;10896.6;146513.8
1023.75;2746.338;3662.195;0;3960.756;307.6;0;4565.88;1769.28;9063;13135;21366.2;160824.5
3663.3;2448.81;4383.178;0;6186.017;232.5;195.048;2367.48;775.86;12679;16601;16701.2;155534.1
3563.55;2978.592;4543.716;0;4167.496;410.7;0;3755.4;1897.62;9698;19404;5158.5;151338.5
3533.85;3147.711;4889.799;0;4294.92;210;0;3687.36;2107.68;12557;15865;16202.5;164078.8
2625;2988.045;4451.913;0;4665.192;225.5;0;3603.96;1920.12;10022;16550;16240;161057.2
3376.8;1201.221;2052.319;0;4645.368;437.3;407.4;2767.8;2861.64;9008;6418;16289.4;153275.2716
3002.7;2704.455;5192.791;0;6797.112;227.1;417.96;2241.48;4327.74;15793;21061;15963;158075.1
1283.1;3009.228;4513.236;0;5965.848;568.5;375.48;4305.6;5389.95;6329;16002;14384.3;161195.8
3483.9;3179.52;4547.784;0;4077.654;431.8;0;4277.28;3268.95;12835;15717;8951.9;155509.4
3439.8;2944.092;3504.702;0;4304.094;578.1;0;3903.12;2575.68;12784;18634;12700.1;148529.88
2621.4;3285.435;4146.131;0;6749.506;246;0;4407.72;3217.92;6312;12409;16472.8;162508.66
393.75;1756.947;2803.996;0;3959.424;0;0;1473.36;2088.96;5627;9868;1801.9;108758.5059
573.3;733.332;2170.108;0;5215.359;441.5;0;3377.4;3036.72;12355;11170;14493.1;136184
2814;2452.881;4060.888;0;6653.917;496.2;198.72;1379.16;1770.912;8309;17876;18309.7;149721
3285.15;2345.517;4536.154;0;6577.494;384.4;0;2719.8;1101.672;12077;11128;13649;155998
2063.4;2141.346;4381.24;0;5830.898;333.5;502.56;4164.96;1838.76;6373;20035;15833.6;156529
3049.95;2848.389;4136.78;0;4002.438;372.6;0;2798.4;1977.42;12689;16839;7311.1;151327
2406.6;2288.454;4630.13;0;4001.84;352.5;0;3737.16;1534.14;10060;11102;17897.7;152543
2770.05;2501.043;4511.852;0;6213.018;0;0;4203.48;1644.72;10027;19442;12448.7;153273
2740.5;657.294;3667.881;0;6531.882;372.8;250.8;3984;5511.6;6313;10817;21542;155831.2371
1093.2;2118.3;4628.064;0;6999.468;457.3;0;2303.76;4434.12;15320;17126;17273.1;158867.808
2457;2850.39;4716.885;0;5071.92;442;0;3442.8;1723.26;9244;15017;11326.4;152784.8454
2705.55;2216.211;3524.425;0;6946.8;526.4;0;3204;3602.07;11278;15406;12387.5;154850.487
3763.05;2472.891;0;0;5821.2;0;0;0;3650.13;6465;7861;17977.4;140980.8576
3074.4;2466.957;1638.95;0;4608.647;440.7;0;2273.4;1393.2;12812;21043;17973.9;148516.6848
3427.2;2250.228;3894.705;0;6599;0;0;3812.52;4154.64;12604;18156;14138.5;157525.4274
2182.35;2640.216;4469.273;0;6666.91;383.1;0;3521.64;1158.06;11329;17098;8631.9;146152.3272
3420.9;3009.366;1923.517;0;6818.625;592.6;0;4172.28;2072.4;6405;13136;19505.5;157634
3395.4;3037.311;0;0;4364.054;245.3;413.76;4541.88;1951.8;12618;22559;15882.1;155627
3463.95;2991.012;4198.017;0;6605.538;341;376.32;2913.84;1703.82;9836;13068;21309.7;162132
0;2546.79;0;0;6006.38;0;0;0;1648.2;6294;9100;6831.4;118259
2226.816;2534.508;2340.912;0;6487.03;235;0;3304.32;2826;12304;12000;19976;147141.9
2721.6;2640.492;2392.509;0;5487.116;0;0;0;3286.98;6706;16338;0;127981.7
3224.592;1009.125;3862.656;0;3199.835;315;0;2071.32;4378.62;12366;10019;10868.3;135531.9504
1078.272;2438.874;1102.689;0;6017.395;340.1;393;2625.6;3946.68;13661;9625;14894.1;139207.4871
2443.392;3254.04;3654.42;0;6622.807;186.1;0;2740.68;4165.308;3004;10950;16256.9;158050.5333
3047.76;2007.486;2787.813;0;6479.444;368.7;411.72;3658.8;1308.312;12361;17507;11253;146880.3963
2192.544;2875.23;3520.146;0;6551.549;130;0;3753.24;2173.92;12567;15257;13034.2;154144
1642.032;2731.986;3952.011;0;3502.663;182.5;0;4115.88;1866.18;6001;16751;9526.8;144383.8
2042.784;3213.123;2451.519;0;4706.868;0;0;0;1939.98;6488;10224;18924.2;139742.4
1107.36;3091.269;3207.771;0;7558.725;0;150.197;2509.8;1732.44;12774;18310;11122.1;132218
2489.328;877.956;448.728;0;2462.197;145;0;4167.36;1867.86;0;8600;0;116255
1676.304;738.99;3160.206;0;0;431.7;0;3742.56;1618.38;9739;0;12699.7;118584
3050.496;2255.196;4132.149;0;522.144;270;0;3802.8;4627.44;9790;12170;14476;140409
3216.96;2757.171;3661.98;0;3942.582;507.2;0;2596.2;5647.65;13060;13670;15834;153115
3098.016;2554.173;3785.019;0;5284.314;130.5;0;3018.6;2960.4;3005;15572;0;137316
2771.856;2918.631;3257.856;0;4183.452;0;0;0;490.32;9852;10237;15857.2;130756
638.784;2840.937;3483.48;0;5115.726;274.5;0;3051.96;3600.72;10307;16721;12304.9;144302
3265.632;1261.458;3086.559;0;4529.154;300;0;1648.56;2355.66;13533;12229;6343.9;136095
2744.496;3087.267;4159.974;0;5356.462;214.3;387.6;3708.72;1808.46;12695;11948;0;138780
3091.968;2533.68;3924.732;0;4731.884;590;0;4204.08;1049.7;9173;9119;14237.8;146328
1174.608;2899.863;4156.089;0;6428.32;178;0;4064.88;2049.57;8269;24951;14352.4;145968
907.2;2878.818;3220.266;0;6349.436;0;0;3578.28;1523.952;8133;5145;19540.5;146273
2940.048;1540.563;4010.748;0;6202.199;0;0;0;2457.504;19177;37820.9;14456.3;141329
2898.144;2247.054;3639.846;0;4982.337;227;39.811;3241.56;2060.64;3833;17992;20104.8;151084
1516.464;2608.545;2221.506;0;6223.261;229.5;142.541;3790.32;3302.94;3074;7150;19565.4;159482
1911.168;3066.843;4229.568;0;3926.408;314.6;601.08;3702.72;4155.03;15665;12271;5530.9;147234
2828.304;2819.34;4158.168;0;6172.572;239;0;3101.64;4202.25;6147;0;13949.5;147271
3194.496;2906.28;3748.647;0;6449.436;152;519.72;4001.76;4849.05;19211;9501;16224.9;162406
1929.024;3219.954;1890.546;0;6102.138;450;278.4;3663.48;4982.25;12207;22600;13347.7;153440
2795.184;3176.07;4582.179;0;7340.256;0;0;4960.8;4300.56;22033;20546;17109.4;157455
0;1633.23;3126.564;0;2354.184;272.5;0;0;1456.62;7282;1000;12200;128597
2502.576;938.262;4195.359;0;5993.791;210.9;0;3724.56;1503.9;19106;18412;12532.4;152673
3100.176;3504.372;4150.419;0;2661.003;182.8;0;3794.76;1669.2;3335;13874;17819.7;152635
2233.728;3249.072;4485.18;0;4775.019;594.8;124.166;3655.32;797.94;15815;17493;2465.5;137332
1673.28;2829.621;3013.353;0;5488.327;150;251.604;3028.8;1250.94;5930;13522;13947.1;141935
2694.24;2934.018;4515.525;0;1695.063;267.9;0;3483.84;2022.78;12142;16625;14541.8;151870
2082.384;3047.04;4475.646;0;5917.247;0;0;0;1795.8;6499;11195;23336.1;142098
0;2804.16;4138.512;0;6626.802;148;0;1535.16;1574.82;9708;17542;15067.4;137357
3035.376;1118.214;3704.883;0;348.987;129.3;411.6;4654.32;1583.64;6307;7596;20540;140498
3144.672;1718.1;4472.265;0;0;494.9;383.52;3316.2;1979.64;6264;8200;5433.1;132553
2447.568;2948.577;2899.89;0;4035.605;120;0;4094.64;0;12593;8226;13980.3;131218
820.08;2292.732;3078.432;0;5646.216;267;0;3022.08;3334.05;6383;13880;7074.1;129183
3094.848;3301.305;4154.094;0;3800.198;413.9;0;1621.08;5664;9107;18500;10250.2;138994
366.624;0;3252.774;0;6010.536;0;0;0;1324.5;15818;14460;14978.4;113700
2861.712;2775.87;4370.688;0;6312.768;356.7;0;623.04;3009.63;12530;16540;8560.2;137601
3037.104;2589.294;4497.276;0;3057.421;189.8;0;4663.32;4688.55;8231;7640;12701.2;157325
2941.632;2614.41;2305.968;0;7192.468;278.4;0;2836.44;1376.58;3185;13880;16479.5;150074
819.216;1997.205;4458.573;0;5901.874;145.5;0;4022.88;1529.82;12464;20180;4734.1;134560
2596.752;2804.16;4038.3;0;6298.111;138;0;2912.04;1652.34;5023;16667;11373.8;147197
2693.952;2808.3;4186.308;0;6207.404;75.5;0;4574.04;4054.08;12485;11785;13901.5;156042
2892.384;2415.69;4496.52;0;5096.972;0;0;0;2452.92;10009;17145;17644.1;133824
2714.544;666.747;4221.462;0;6146.232;188.7;0;1848.12;1948.62;18245;10801;17785.2;144729
1003.248;1746.252;4300.233;0;6750.353;206.6;0;1944.48;2015.4;6215;21917;18754;143280
2463.984;2969.07;4371.36;0;3772.579;343.9;0;1741.68;1377.24;6482;11373;14252.9;151446
2799.072;2645.46;2510.424;457.17;6180.804;310.2;0;3008.64;6212.52;10151;11414;8914;147729
2721.024;2210.76;0;2633.82;4701.69;111.8;0;3728.04;0;8614;8520;5098.6;127364
2317.968;2484;0;3447.486;6894.174;219;0;2668.56;3838.32;12416;11589;16256.8;149804
2724.48;1981.611;0;1783.614;6672.078;0;0;0;5026.2;9666;19721;19085.6;134916
749.952;1323.42;0;4416.174;6580.392;0;0;784.8;2080.728;6741;14800;15574.7;137683
2108.592;1788.48;2815.05;1053.906;6166.524;0;396.24;3130.32;436.536;12728;16229;9059.6;138249
2994.48;2906.28;4115.37;0;3739.68;0;0;2374.44;0;12362;1800;7391.4;127226
799.2;2277.966;3366.846;0;6192.595;110.8;185.554;2988.6;0;6306;18100;13465.3;129660
1778.112;2510.841;4346.307;0;6555.987;0;191.4;3158.88;2437.8;12990;19700;13723.6;150195
1139.76;2916.285;3964.338;0;7105.797;0;0;3470.04;3253.2;3268;9600;13715.5;143328
0;2909.937;3476.466;0;7460.675;0;0;0;0;3122;8980;12518.7;111097
0;671.025;3350.949;0;7125.326;0;0;0;2632.8;16497;19939;10944.2;116131
1994.832;2551.965;4365.018;0;3713.693;0;0;0;2571.75;12035;20560;0;114636
639.936;820.893;4257.372;0;6678.611;0;0;2856.24;1661.49;6057;11619;17342.6;139250
938.304;1327.56;2257.332;0;6985.715;0;468;3747.36;1969.92;15990;8216;16107.1;140231
1570.752;2302.392;3585.414;0;6568.011;0;0;625.68;1941.18;6086;16388;13751.3;136391
0;2653.395;3500.28;0;6019.251;0;0;0;481.32;8564;14477;10942;119724
0;621.69;4333.686;0;4339.844;0;0;0;0;0;12895;15838.5;107706
0;0;3983.259;0;5042.688;0;0;0;0;8392;7116;7722.6;101698
1578.528;1088.613;2558.808;0;3364.536;0;141.24;711.36;640.74;6095;7002;6714;102554
1346.256;2352.969;4188.702;0;5790.414;0;163.8;3432.84;474.42;8191;15391;12638.6;138212
940.32;3015.162;3759.189;0;6256.278;0;487.56;787.08;1887;5904;11297;12111.5;132906
0;1029.204;0;3394.31;4651.524;0;0;0;3290.34;9721;12236;14948.7;130984
1104.768;2368.08;340.011;3182.886;5455.159;0;0;0;1664.37;6278;7928;15067.7;134699
0;0;4504.017;0;5466.82;0;0;0;0;2545;8210;10058.5;99677
0;503.01;1964.844;0;6316.228;0;0;0;0;12117;8001;3709.1;93048
980.784;3042.072;0;0;4739.592;0;0;1310.16;0;9970;12440;8751.4;103893
0;793.845;0;0;5776.991;0;0;3474.72;3487.62;3219;8765;8692.7;116360
1426.896;2112.711;0;0;5331.97;0;0;224.4;1935.9;6449;3800;18612.7;125285
1196.064;2561.97;4394.46;0;3163.52;0;0;0;2326.2;11326;11660;9010.4;117101
0;2525.952;4526.508;0;6118.231;0;0;0;0;9920;18215;10488.7;104276
0;0;3930.024;0;5630.802;0;0;0;0;12595;12178;15955.1;101758
0;1229.511;4098.276;0;4477.397;0;0;0;2434.59;6439;12402;0;108519
